ID,degre
METRROTT0000002269777753,3
METRROTT0000002269762256,2
METRROTT0000002269762515,2
METRROTT0000002269762508,2
METRROTT0000002269762777,2
METRROTT0000002269763428,3
METRROTT0000002269763446,2
METRROTT0000002269777129,2
METRROTT0000002269763462,2
METRROTT0000002269763700,2
METRROTT0000002269764202,3
METRROTT0000002269764238,2
METRROTT0000002269779344,2
METRROTT0000002269768894,2
METRROTT0000002269773479,2
METRROTT0000002269774697,2
METRROTT0000002269775190,2
METRROTT0000002269777090,2
METRROTT0000002269776780,3
METRROTT0000002269776690,2
METRROTT0000002269778362,2
METRROTT0000002269778669,3
METRROTT0000002269778861,2
METRROTT0000002269779345,3
METRROTT0000002269779444,2
METRROTT0000002269779645,2
METRROTT0000002269779612,2
METRROTT0000002269779464,2
METRROTT0000002269779465,2
METRROTT0000002269779669,2
METRROTT0000002269779784,3
METRROTT0000002269780207,2
METRROTT0000002269780878,2
METRROTT0000002269780463,2
METRROTT0000002269780995,2
METRROTT0000002269781770,2
METRROTT0000002269781880,2
METRROTT0000002269782058,3
METRROTT0000002269782041,2
METRROTT0000002269782056,2
METRROTT0000002269782265,4
METRROTT0000002269782309,3
METRROTT0000002269782351,2
METRROTT0000002269782179,2
METRROTT0000002269782479,2
METRROTT0000002269782647,2
METRROTT0000002269782827,2
METRROTT0000002269782928,2
METRROTT0000002269782983,3
METRROTT0000002269783178,3
METRROTT0000002269783489,2
METRROTT0000002269814516,2
METRROTT0000002269814745,2
METRROTT0000002269815040,2
METRROTT0000002269815182,2
METRROTT0000002269814542,2
METRROTT0000002269763927,2
METRROTT0000002269763871,2
METRROTT0000002275850996,2
METRROTT0000002269834530,3
METRROTT0000002269782548,2
METRROTT0000002269782024,2
METRROTT0000002275851080,2
METRROTT0000002269780237,2
METRROTT0000002269762926,2
METRROTT0000002269761785,2
METRROTT0000002269764002,2
METRROTT0000002269764003,2
METRROTT0000002269763276,2
METRROTT0000002269763414,2
METRROTT0000002269763568,2
METRROTT0000002269763484,3
METRROTT0000002269763658,2
METRROTT0000002269763723,2
METRROTT0000002269763924,2
METRROTT0000002269764019,2
METRROTT0000002269764037,2
METRROTT0000002269764524,2
METRROTT0000002269764929,2
METRROTT0000002269765018,2
METRROTT0000002269765603,2
METRROTT0000002269765819,2
METRROTT0000002269766088,3
METRROTT0000002269766483,2
METRROTT0000002269766484,2
METRROTT0000002269766581,2
METRROTT0000002269767315,2
METRROTT0000002269773870,3
METRROTT0000002269774307,2
METRROTT0000002269774458,2
METRROTT0000002269775792,2
METRROTT0000002269775999,4
METRROTT0000002269776041,3
METRROTT0000002269776073,2
